,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
593,eldikan,NAN,NAN,52,NAN,NAN
594,kolondieba,11.09,74.73,17,54,3.11
595,palomares,40.39,41.88,93,75,6.7
596,salvador,-12.98,78.8,83,20,3.6
597,mizdah,31.45,51.12,32,0,10.13
598,domoni,NAN,NAN,32,NAN,NAN
599,geraldton,49.72,-5.8,76,75,1.5
600,mimoso do sul,-21.07,67.57,98,100,1.27
601,wenling,28.38,57,68,0,5.06
602,inhambane,-23.87,80.6,63,0,3.2
603,abu samrah,35.3,56.07,68,100,6.19
604,namibe,-15.19,75.2,78,84,6.2
605,sola,-3.17,73.42,72,69,2.28
606,mayumba,-3.44,79.99,79,22,4.69
607,san quintin,17.54,78.22,76,0,0.68
608,rodrigues alves,-7.74,75.2,100,100,0.71
609,portachuelo,-17.35,75.2,94,75,5.7
610,lardos,36.09,57.65,82,40,3.6
611,cacapava do sul,-30.51,67.01,67,100,0.67
612,chumikan,54.72,-8.43,87,0,3.11
613,la seyne-sur-mer,43.1,44.1,42,12,8.7
614,rawah,NAN,NAN,42,NAN,NAN
615,eureka,40.8,55.15,87,90,1.79
616,alpena,45.06,11.55,78,20,3.1
617,corrente,-17.45,67.96,89,47,0.72
